PATCH,	BLUE,	RED,	WINNER,	BB1,	RB1,	BB2,	RB2,	BB3,	RB3,	BP1,	RP1,	RP2,	BP2,	BP3,	RP3,	RB4,	BB4,	RB5,	BB5,	RP4,	BP4,	BP5,	RP5
8_15,	GEN,	SKT,	RED,	AKALI,	AATROX,	TALIYAH,	RAKAN,	URGOT,	GRAGAS,	ALISTAR,	TAHM KENCH, ASHE,	KAISA, GNAR,	KINDRED,	ZOE,	LEBLANC,	OLAF,	AZIR,	ORNN,	XIN ZHAO, VELKOZ,	IRELIA
8_15,	GEN,	SKT,	BLUE,	IRELIA,	AATROX,	URGOT,	RAKAN,	OLAF,	TALIYAH,	GRAGAS,	TAHM KENCH, ORNN,	BRAUM, ASHE,	KINDRED,	ZOE,	VARUS,	GANGPLANK,	AKALI,	EZREAL,	CAMILLE, RYZE,	VELKOZ
8_15,	GEN,	SKT,	BLUE,	IRELIA,	AATROX,	URGOT,	RAKAN,	OLAF,	TALIYAH,	GRAGAS,	TAHM KENCH, ASHE,	BRAUM, VARUS,	AKALI,	GALIO,	KINDRED,	KENNEN,	SEJUANI,	GNAR,	GANGPLANK, LISSANDRA,	TRUNDLE
8_15,	GRF,	GEN,	BLUE,	ASHE,	YASUO,	RYZE,	TALIYAH,	VARUS,	TAHM KENCH,	URGOT,	AATROX, KAISA,	XAYAH, RAKAN,	ALISTAR,	GALIO,	LEBLANC,	IRELIA,	MALZAHAR,	GRAGAS,	OLAF, ZOE,	LISSANDRA
8_15,	GRF,	GEN,	RED,	RYZE,	YASUO,	ASHE,	TALIYAH,	VARUS,	TAHM KENCH,	URGOT,	AATROX, RAKAN,	CAITLYN, MORGANA,	XAYAH,	GALIO,	LEBLANC,	ZOE,	LULU,	GRAGAS,	IRELIA, NIDALEE,	LISSANDRA
8_15,	GRF,	GEN,	RED,	RYZE,	YASUO,	ASHE,	TALIYAH,	VARUS,	TAHM KENCH,	URGOT,	AATROX, RAKAN,	CAITLYN, MORGANA,	XAYAH,	ZOE,	LEBLANC,	GALIO,	LULU,	GRAGAS,	IRELIA, OLAF,	LISSANDRA
8_15,	GRF,	GEN,	BLUE,	RYZE,	YASUO,	ASHE,	TALIYAH,	VARUS,	TAHM KENCH,	AATROX,	URGOT, RAKAN,	ALISTAR, KAISA,	XAYAH,	ZOE,	LISSANDRA,	GALIO,	LEBLANC,	GRAGAS,	ORNN, SEJUANI,	VELKOZ
8_15,	GRF,	GEN,	RED,	ASHE,	TALIYAH,	VARUS,	KAISA,	RYZE,	AATROX,	URGOT,	RAKAN, XAYAH,	SHEN, VLADIMIR,	ZOE,	GALIO,	GRAGAS,	IRELIA,	CAMILLE,	GNAR,	YASUO, SEJUANI,	TRUNDLE
8_15,	GEN,	KZ,	BLUE,	IRELIA,	LISSANDRA,	TAHM KENCH,	CAMILLE,	TALIYAH,	RAKAN,	AATROX,	URGOT, ZOE,	MALZAHAR, ALISTAR,	GRAGAS,	VARUS,	ASHE,	SIVIR,	BRAUM,	KAISA,	TRISTANA, OLAF,	TRUNDLE
8_15,	GEN,	KZ,	BLUE,	IRELIA,	CAMILLE,	TAHM KENCH,	MALZAHAR,	TALIYAH,	ALISTAR,	AATROX,	XAYAH, RAKAN,	VARUS, ZOE,	YASUO,	BRAUM,	GRAGAS,	MORGANA,	TRUNDLE,	OLAF,	SHEN, LEE SIN,	URGOT
8_15,	GEN,	KZ,	BLUE,	TAHM KENCH,	MALZAHAR,	TALIYAH,	ALISTAR,	CAMILLE,	AATROX,	ZOE,	XAYAH, RAKAN,	VARUS, BRAUM,	AKALI,	LEE SIN,	GALIO,	URGOT,	IRELIA,	OLAF,	GRAGAS, GANGPLANK,	CHOGATH
8_14,JAG,GRF,RED,SHEN,TALIYAH,TRUNDLE,RAKAN,MORGANA,AATROX,TAHM KENCH,ORIANNA,KINDRED,SEJUANI,EZREAL,SORAKA,YASUO,LEBLANC,VARUS,AZIR,GANGPLANK,TEEMO,KARMA,JAYCE
8_14,GRF,JAG,RED,TAHM KENCH,AATROX,RAKAN,TALIYAH,ALISTAR,SHEN,ORIANNA,TRUNDLE,ELISE,EZREAL,JAYCE,MALPHITE,AZIR,VARUS,MORGANA,SORAKA,PYKE,BRAUM,DR. MUNDO,LEBLANC
8_14,JAG,GRF,BLUE,SHEN,AATROX,TRUNDLE,TALIYAH,YASUO,RAKAN,ORIANNA,ZOE,TAHM KENCH,SEJUANI,SKARNER,MORGANA,GANGPLANK,VARUS,EZREAL,ASHE,GNAR,KAISA,JHIN,CHOGATH
8_14,KZ,HLE,RED,ORIANNA,AATROX,SHEN,RAKAN,ZOE,TALIYAH,TAHM KENCH,EZREAL,VARUS,TRUNDLE,RYZE,BRAUM,SWAIN,KINDRED,SYNDRA,NOCTURNE,GNAR,VELKOZ,GRAGAS,GANGPLANK
